id,version,synthetic,created_at,updated_at,customer_id,vehicle_id,quote_id,contract_id,technician_id,bay_id,description,due_at,opened_at,completed_at,inspection,authorization_ref,qc_ref,block_reason,status
WO-001,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,V-001,Q-001,,T-001,B-001,Orden sintética,2026-09-23T20:00:00Z,2026-09-18T16:00:00Z,2026-09-20T20:00:00Z,Inspección demo,AUTH-WO,QC-001,,delivered
WO-002,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,V-002,Q-002,,T-002,B-002,Orden sintética,2026-09-23T20:00:00Z,2026-09-18T16:00:00Z,,Inspección demo,AUTH-WO,,,in_service
WO-003,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-003,V-003,Q-003,,,,Orden sintética,2026-09-23T20:00:00Z,2026-09-18T16:00:00Z,,Inspección demo,AUTH-WO,,Falta filtro,waiting_parts
WO-004,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-004,V-004,Q-004,,T-003,B-003,Orden sintética,2026-09-23T20:00:00Z,2026-09-18T16:00:00Z,,Inspección demo,AUTH-WO,,,rework
WO-005,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-005,V-005,,,,,Orden sintética,2026-09-23T20:00:00Z,2026-09-18T16:00:00Z,,,,,,cancelled
WO-006,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-006,V-006,Q-006,,T-004,B-001,Orden sintética,2026-09-23T20:00:00Z,2026-09-18T16:00:00Z,,Inspección demo,AUTH-WO,,,quality_check
WO-007,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-007,V-007,,,,,Orden sintética,2026-09-23T20:00:00Z,2026-09-18T16:00:00Z,,,,,,received
WO-008,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-008,V-008,Q-007,,,,Orden sintética,2026-09-23T20:00:00Z,2026-09-18T16:00:00Z,,Inspección demo,AUTH-WO,,,authorized
WO-009,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-009,Q-005,CT-001,T-001,B-002,Orden sintética,2026-09-23T20:00:00Z,2026-09-18T16:00:00Z,2026-09-21T17:00:00Z,Inspección demo,AUTH-WO,QC-001,,delivered
WO-010,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-011,Q-008,,T-001,B-004,Orden sintética,2026-09-23T20:00:00Z,2026-09-18T16:00:00Z,,Inspección demo,AUTH-WO,,,scheduled
WO-H001,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,V-001,Q-H001,,T-001,B-001,Servicio histórico sintético,2026-09-21T01:00:00Z,2026-09-20T17:00:00Z,2026-09-21T01:00:00Z,Inspección histórica sintética,AUTH-H001,QC-H001,,delivered
WO-H002,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,V-002,Q-H002,,T-002,B-002,Servicio histórico sintético,2026-09-20T14:00:00Z,2026-09-20T04:00:00Z,2026-09-20T14:00:00Z,Inspección histórica sintética,AUTH-H002,QC-H002,,delivered
WO-H003,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-003,V-003,Q-H003,,T-003,B-003,Servicio histórico sintético,2026-09-20T03:00:00Z,2026-09-19T15:00:00Z,2026-09-20T03:00:00Z,Inspección histórica sintética,AUTH-H003,QC-H003,,delivered
WO-H004,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-004,V-004,Q-H004,,T-004,B-004,Servicio histórico sintético,2026-09-19T16:00:00Z,2026-09-19T02:00:00Z,2026-09-19T16:00:00Z,Inspección histórica sintética,AUTH-H004,QC-H004,,delivered
WO-H005,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-005,V-005,Q-H005,,T-001,B-001,Servicio histórico sintético,2026-09-19T05:00:00Z,2026-09-18T13:00:00Z,2026-09-19T05:00:00Z,Inspección histórica sintética,AUTH-H005,QC-H005,,delivered
WO-H006,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-006,V-006,Q-H006,,T-002,B-002,Servicio histórico sintético,2026-09-18T18:00:00Z,2026-09-18T00:00:00Z,2026-09-18T18:00:00Z,Inspección histórica sintética,AUTH-H006,QC-H006,,delivered
WO-H007,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-007,V-007,Q-H007,,T-003,B-003,Servicio histórico sintético,2026-09-17T17:00:00Z,2026-09-17T11:00:00Z,2026-09-17T17:00:00Z,Inspección histórica sintética,AUTH-H007,QC-H007,,delivered
WO-H008,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-008,V-008,Q-H008,,T-004,B-004,Servicio histórico sintético,2026-09-17T06:00:00Z,2026-09-16T22:00:00Z,2026-09-17T06:00:00Z,Inspección histórica sintética,AUTH-H008,QC-H008,,delivered
WO-H009,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-009,Q-H009,CT-001,T-001,B-001,Servicio histórico sintético,2026-09-19T00:00:00Z,2026-09-16T09:00:00Z,2026-09-19T00:00:00Z,Inspección histórica sintética,AUTH-H009,QC-H009,,delivered
WO-H010,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-010,Q-H010,CT-001,T-002,B-002,Servicio histórico sintético,2026-09-16T08:00:00Z,2026-09-15T20:00:00Z,2026-09-16T08:00:00Z,Inspección histórica sintética,AUTH-H010,QC-H010,,delivered
WO-H011,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-011,Q-H011,CT-002,T-003,B-003,Servicio histórico sintético,2026-09-15T21:00:00Z,2026-09-15T07:00:00Z,2026-09-15T21:00:00Z,Inspección histórica sintética,AUTH-H011,QC-H011,,delivered
WO-H012,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-012,Q-H012,CT-002,T-004,B-004,Servicio histórico sintético,2026-09-15T10:00:00Z,2026-09-14T18:00:00Z,2026-09-15T10:00:00Z,Inspección histórica sintética,AUTH-H012,QC-H012,,delivered
WO-H013,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,V-001,Q-H013,,T-001,B-001,Servicio histórico sintético,2026-09-14T23:00:00Z,2026-09-14T05:00:00Z,2026-09-14T23:00:00Z,Inspección histórica sintética,AUTH-H013,QC-H013,,delivered
WO-H014,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,V-002,Q-H014,,T-002,B-002,Servicio histórico sintético,2026-09-13T22:00:00Z,2026-09-13T16:00:00Z,2026-09-13T22:00:00Z,Inspección histórica sintética,AUTH-H014,QC-H014,,delivered
WO-H015,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-003,V-003,Q-H015,,T-003,B-003,Servicio histórico sintético,2026-09-13T11:00:00Z,2026-09-13T03:00:00Z,2026-09-13T11:00:00Z,Inspección histórica sintética,AUTH-H015,QC-H015,,delivered
WO-H016,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-004,V-004,Q-H016,,T-004,B-004,Servicio histórico sintético,2026-09-13T00:00:00Z,2026-09-12T14:00:00Z,2026-09-13T00:00:00Z,Inspección histórica sintética,AUTH-H016,QC-H016,,delivered
WO-H017,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-005,V-005,Q-H017,,T-001,B-001,Servicio histórico sintético,2026-09-12T13:00:00Z,2026-09-12T01:00:00Z,2026-09-12T13:00:00Z,Inspección histórica sintética,AUTH-H017,QC-H017,,delivered
WO-H018,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-006,V-006,Q-H018,,T-002,B-002,Servicio histórico sintético,2026-09-14T00:00:00Z,2026-09-11T12:00:00Z,2026-09-14T00:00:00Z,Inspección histórica sintética,AUTH-H018,QC-H018,,delivered
WO-H019,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-007,V-007,Q-H019,,T-003,B-003,Servicio histórico sintético,2026-09-11T15:00:00Z,2026-09-10T23:00:00Z,2026-09-11T15:00:00Z,Inspección histórica sintética,AUTH-H019,QC-H019,,delivered
WO-H020,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-008,V-008,Q-H020,,T-004,B-004,Servicio histórico sintético,2026-09-11T04:00:00Z,2026-09-10T10:00:00Z,2026-09-11T04:00:00Z,Inspección histórica sintética,AUTH-H020,QC-H020,,delivered
WO-H021,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-009,Q-H021,CT-001,T-001,B-001,Servicio histórico sintético,2026-09-10T03:00:00Z,2026-09-09T21:00:00Z,2026-09-10T03:00:00Z,Inspección histórica sintética,AUTH-H021,QC-H021,,delivered
WO-H022,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-010,Q-H022,CT-001,T-002,B-002,Servicio histórico sintético,2026-09-09T16:00:00Z,2026-09-09T08:00:00Z,2026-09-09T16:00:00Z,Inspección histórica sintética,AUTH-H022,QC-H022,,delivered
WO-H023,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-011,Q-H023,CT-002,T-003,B-003,Servicio histórico sintético,2026-09-09T05:00:00Z,2026-09-08T19:00:00Z,2026-09-09T05:00:00Z,Inspección histórica sintética,AUTH-H023,QC-H023,,delivered
WO-H024,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-012,Q-H024,CT-002,T-004,B-004,Servicio histórico sintético,2026-09-08T18:00:00Z,2026-09-08T06:00:00Z,2026-09-08T18:00:00Z,Inspección histórica sintética,AUTH-H024,QC-H024,,delivered
WO-H025,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,V-001,Q-H025,,T-001,B-001,Servicio histórico sintético,2026-09-08T07:00:00Z,2026-09-07T17:00:00Z,2026-09-08T07:00:00Z,Inspección histórica sintética,AUTH-H025,QC-H025,,delivered
WO-H026,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,V-002,Q-H026,,T-002,B-002,Servicio histórico sintético,2026-09-07T20:00:00Z,2026-09-07T04:00:00Z,2026-09-07T20:00:00Z,Inspección histórica sintética,AUTH-H026,QC-H026,,delivered
WO-H027,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-003,V-003,Q-H027,,T-003,B-003,Servicio histórico sintético,2026-09-09T00:00:00Z,2026-09-06T15:00:00Z,2026-09-09T00:00:00Z,Inspección histórica sintética,AUTH-H027,QC-H027,,delivered
WO-H028,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-004,V-004,Q-H028,,T-004,B-004,Servicio histórico sintético,2026-09-06T08:00:00Z,2026-09-06T02:00:00Z,2026-09-06T08:00:00Z,Inspección histórica sintética,AUTH-H028,QC-H028,,delivered
WO-H029,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-005,V-005,Q-H029,,T-001,B-001,Servicio histórico sintético,2026-09-05T21:00:00Z,2026-09-05T13:00:00Z,2026-09-05T21:00:00Z,Inspección histórica sintética,AUTH-H029,QC-H029,,delivered
WO-H030,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-006,V-006,Q-H030,,T-002,B-002,Servicio histórico sintético,2026-09-05T10:00:00Z,2026-09-05T00:00:00Z,2026-09-05T10:00:00Z,Inspección histórica sintética,AUTH-H030,QC-H030,,delivered
WO-H031,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-007,V-007,Q-H031,,T-003,B-003,Servicio histórico sintético,2026-09-04T23:00:00Z,2026-09-04T11:00:00Z,2026-09-04T23:00:00Z,Inspección histórica sintética,AUTH-H031,QC-H031,,delivered
