event_id,entity_type,entity_id,from_state,to_state,at,actor,process_id,synthetic
EV-H001-00,work_orders,WO-H001,initial,received,2026-09-20T17:00:00Z,Operador demo,PROC-H001,1
EV-H001-01,work_orders,WO-H001,received,inspected,2026-09-20T18:08:34.285714Z,Operador demo,PROC-H001,1
EV-H001-02,work_orders,WO-H001,inspected,authorized,2026-09-20T19:17:08.571429Z,Operador demo,PROC-H001,1
EV-H001-03,work_orders,WO-H001,authorized,scheduled,2026-09-20T20:25:42.857143Z,Operador demo,PROC-H001,1
EV-H001-04,work_orders,WO-H001,scheduled,in_service,2026-09-20T21:34:17.142857Z,Operador demo,PROC-H001,1
EV-H001-05,work_orders,WO-H001,in_service,quality_check,2026-09-20T22:42:51.428571Z,Operador demo,PROC-H001,1
EV-H001-06,work_orders,WO-H001,quality_check,ready,2026-09-20T23:51:25.714286Z,Operador demo,PROC-H001,1
EV-H001-07,work_orders,WO-H001,ready,delivered,2026-09-21T01:00:00Z,Operador demo,PROC-H001,1
EV-H002-00,work_orders,WO-H002,initial,received,2026-09-20T04:00:00Z,Operador demo,PROC-H002,1
EV-H002-01,work_orders,WO-H002,received,inspected,2026-09-20T05:25:42.857143Z,Operador demo,PROC-H002,1
EV-H002-02,work_orders,WO-H002,inspected,authorized,2026-09-20T06:51:25.714286Z,Operador demo,PROC-H002,1
EV-H002-03,work_orders,WO-H002,authorized,scheduled,2026-09-20T08:17:08.571429Z,Operador demo,PROC-H002,1
EV-H002-04,work_orders,WO-H002,scheduled,in_service,2026-09-20T09:42:51.428571Z,Operador demo,PROC-H002,1
EV-H002-05,work_orders,WO-H002,in_service,quality_check,2026-09-20T11:08:34.285714Z,Operador demo,PROC-H002,1
EV-H002-06,work_orders,WO-H002,quality_check,ready,2026-09-20T12:34:17.142857Z,Operador demo,PROC-H002,1
EV-H002-07,work_orders,WO-H002,ready,delivered,2026-09-20T14:00:00Z,Operador demo,PROC-H002,1
EV-H003-00,work_orders,WO-H003,initial,received,2026-09-19T15:00:00Z,Operador demo,PROC-H003,1
EV-H003-01,work_orders,WO-H003,received,inspected,2026-09-19T16:42:51.428571Z,Operador demo,PROC-H003,1
