day,opened,delivered,collected_cents,expense_cents
2026-06-26,1,0,0,0
2026-06-27,2,2,0,0
2026-06-28,2,2,0,0
2026-06-29,2,2,203750,0
2026-06-30,2,1,217500,0
2026-07-01,1,1,122500,0
2026-07-02,2,3,65000,0
2026-07-03,2,3,177500,0
2026-07-04,2,1,381250,0
2026-07-05,2,1,280000,0
2026-07-06,2,2,102500,0
2026-07-07,2,3,90000,0
2026-07-08,1,1,255000,0
2026-07-09,2,2,292500,0
2026-07-10,2,1,152500,0
2026-07-11,2,2,197500,0
2026-07-12,2,3,115000,0
2026-07-13,2,2,167500,0
2026-07-14,1,2,273750,0
2026-07-15,2,0,260000,0
2026-07-16,2,2,292500,0
2026-07-17,2,3,0,0
2026-07-18,2,2,217500,0
2026-07-19,2,1,186250,0
2026-07-20,2,1,160000,0
2026-07-21,1,3,177500,0
2026-07-22,2,3,165000,0
2026-07-23,2,1,325000,15000
2026-07-24,2,2,268750,0
2026-07-25,2,1,38750,0
2026-07-26,2,2,255000,0
2026-07-27,1,2,165000,0
2026-07-28,2,2,222500,0
2026-07-29,2,2,216250,0
2026-07-30,2,1,166250,0
2026-07-31,2,2,167500,0
2026-08-01,2,3,190000,0
2026-08-02,2,2,260000,14000
2026-08-03,1,1,325000,0
2026-08-04,2,1,178750,0
2026-08-05,2,2,102500,0
2026-08-06,2,3,77500,0
2026-08-07,2,1,160000,0
2026-08-08,2,2,387500,0
2026-08-09,1,2,76250,0
2026-08-10,2,2,267500,0
2026-08-11,2,2,192500,0
2026-08-12,2,2,103750,13000
2026-08-13,2,1,247500,0
2026-08-14,2,2,253750,0
2026-08-15,2,2,152500,0
2026-08-16,1,2,242500,0
2026-08-17,2,3,121250,0
2026-08-18,2,0,167500,0
2026-08-19,2,2,400000,0
2026-08-20,2,3,0,0
2026-08-21,2,2,292500,0
2026-08-22,1,1,261250,12000
2026-08-23,2,1,147500,0
2026-08-24,2,2,77500,0
2026-08-25,2,4,65000,0
2026-08-26,2,0,342500,0
2026-08-27,2,3,438750,0
2026-08-28,2,1,0,0
2026-08-29,1,2,250000,0
2026-08-30,2,2,65000,0
2026-08-31,2,2,278750,0
2026-09-01,2,2,203750,11000
2026-09-02,2,1,222500,0
2026-09-03,2,1,242500,0
2026-09-04,1,4,90000,0
2026-09-05,2,2,77500,0
2026-09-06,2,1,451250,0
2026-09-07,2,1,235000,0
2026-09-08,2,2,140000,0
2026-09-09,2,3,115000,0
2026-09-10,2,1,147500,0
2026-09-11,1,2,206250,10000
2026-09-12,2,1,95000,0
2026-09-13,2,3,342500,0
2026-09-14,2,2,140000,0
2026-09-15,2,2,287500,18000
2026-09-16,2,1,166250,0
2026-09-17,1,2,103750,0
2026-09-18,12,1,190000,24000
2026-09-19,2,3,317500,0
2026-09-20,2,3,155000,0
2026-09-21,0,2,650000,0
