invoice_id,customer_id,segment,due_at,invoiced_cents,paid_cents,balance_cents,days_overdue,aging_bucket
INV-001,C-001,particular,2026-09-20T00:00:00Z,185000,100000,85000,1,1-30
INV-002,C-009,fleet,2026-10-01T00:00:00Z,300000,0,300000,0,current
INV-003,C-006,particular,2026-10-01T00:00:00Z,85000,85000,0,0,current
INV-004,C-009,fleet,2026-10-01T00:00:00Z,125000,0,125000,0,current
INV-H001,C-001,particular,2026-09-28T01:00:00Z,77500,77500,0,0,current
INV-H002,C-002,particular,2026-09-27T14:00:00Z,90000,90000,0,0,current
INV-H003,C-003,particular,2026-09-27T03:00:00Z,102500,51250,51250,0,current
INV-H004,C-004,particular,2026-09-26T16:00:00Z,115000,115000,0,0,current
INV-H005,C-005,particular,2026-09-26T05:00:00Z,127500,127500,0,0,current
INV-H006,C-006,particular,2026-09-25T18:00:00Z,140000,70000,70000,0,current
INV-H007,C-007,particular,2026-09-24T17:00:00Z,152500,152500,0,0,current
INV-H008,C-008,particular,2026-09-24T06:00:00Z,165000,165000,0,0,current
INV-H009,C-009,fleet,2026-09-26T00:00:00Z,177500,88750,88750,0,current
INV-H010,C-009,fleet,2026-09-23T08:00:00Z,190000,190000,0,0,current
INV-H011,C-010,fleet,2026-09-22T21:00:00Z,65000,65000,0,0,current
INV-H012,C-010,fleet,2026-09-22T10:00:00Z,77500,38750,38750,0,current
INV-H013,C-001,particular,2026-09-21T23:00:00Z,90000,90000,0,0,current
INV-H014,C-002,particular,2026-09-20T22:00:00Z,102500,102500,0,0,1-30
INV-H015,C-003,particular,2026-09-20T11:00:00Z,115000,57500,57500,1,1-30
INV-H016,C-004,particular,2026-09-20T00:00:00Z,127500,127500,0,1,1-30
INV-H017,C-005,particular,2026-09-19T13:00:00Z,140000,140000,0,2,1-30
INV-H018,C-006,particular,2026-09-21T00:00:00Z,152500,76250,76250,0,1-30
INV-H019,C-007,particular,2026-09-18T15:00:00Z,165000,165000,0,3,1-30
INV-H020,C-008,particular,2026-09-18T04:00:00Z,177500,177500,0,3,1-30
INV-H021,C-009,fleet,2026-09-17T03:00:00Z,190000,95000,95000,4,1-30
INV-H022,C-009,fleet,2026-09-16T16:00:00Z,65000,65000,0,5,1-30
INV-H023,C-010,fleet,2026-09-16T05:00:00Z,77500,77500,0,5,1-30
INV-H024,C-010,fleet,2026-09-15T18:00:00Z,90000,45000,45000,6,1-30
INV-H025,C-001,particular,2026-09-15T07:00:00Z,102500,102500,0,6,1-30
INV-H026,C-002,particular,2026-09-14T20:00:00Z,115000,115000,0,6,1-30
INV-H027,C-003,particular,2026-09-16T00:00:00Z,127500,63750,63750,5,1-30
INV-H028,C-004,particular,2026-09-13T08:00:00Z,140000,140000,0,8,1-30
INV-H029,C-005,particular,2026-09-12T21:00:00Z,152500,152500,0,8,1-30
INV-H030,C-006,particular,2026-09-12T10:00:00Z,165000,82500,82500,9,1-30
INV-H031,C-007,particular,2026-09-11T23:00:00Z,177500,177500,0,9,1-30
INV-H032,C-008,particular,2026-09-11T12:00:00Z,190000,190000,0,10,1-30
INV-H033,C-009,fleet,2026-09-11T01:00:00Z,65000,32500,32500,10,1-30
INV-H034,C-009,fleet,2026-09-10T14:00:00Z,77500,77500,0,11,1-30
INV-H035,C-010,fleet,2026-09-09T13:00:00Z,90000,90000,0,12,1-30
INV-H036,C-010,fleet,2026-09-11T00:00:00Z,102500,51250,51250,10,1-30
INV-H037,C-001,particular,2026-09-08T15:00:00Z,115000,115000,0,13,1-30
INV-H038,C-002,particular,2026-09-08T04:00:00Z,127500,127500,0,13,1-30
INV-H039,C-003,particular,2026-09-07T17:00:00Z,140000,70000,70000,14,1-30
INV-H040,C-004,particular,2026-09-07T06:00:00Z,152500,152500,0,14,1-30
INV-H041,C-005,particular,2026-09-06T19:00:00Z,165000,165000,0,14,1-30
INV-H042,C-006,particular,2026-09-05T18:00:00Z,177500,88750,88750,16,1-30
INV-H043,C-007,particular,2026-09-05T07:00:00Z,190000,190000,0,16,1-30
INV-H044,C-008,particular,2026-09-04T20:00:00Z,65000,65000,0,16,1-30
INV-H045,C-009,fleet,2026-09-06T12:00:00Z,77500,38750,38750,15,1-30
INV-H046,C-009,fleet,2026-09-03T22:00:00Z,90000,90000,0,17,1-30
INV-H047,C-010,fleet,2026-09-03T11:00:00Z,102500,102500,0,18,1-30
INV-H048,C-010,fleet,2026-09-03T00:00:00Z,115000,57500,57500,18,1-30
INV-H049,C-001,particular,2026-09-01T23:00:00Z,127500,127500,0,19,1-30
INV-H050,C-002,particular,2026-09-01T12:00:00Z,140000,140000,0,20,1-30
INV-H051,C-003,particular,2026-09-01T01:00:00Z,152500,76250,76250,20,1-30
INV-H052,C-004,particular,2026-08-31T14:00:00Z,165000,165000,0,21,1-30
INV-H053,C-005,particular,2026-08-31T03:00:00Z,177500,177500,0,21,1-30
INV-H054,C-006,particular,2026-09-01T12:00:00Z,190000,95000,95000,20,1-30
INV-H055,C-007,particular,2026-08-30T05:00:00Z,65000,65000,0,22,1-30
INV-H056,C-008,particular,2026-08-29T04:00:00Z,77500,77500,0,23,1-30
INV-H057,C-009,fleet,2026-08-28T17:00:00Z,90000,45000,45000,24,1-30
INV-H058,C-009,fleet,2026-08-28T06:00:00Z,102500,102500,0,24,1-30
INV-H059,C-010,fleet,2026-08-27T19:00:00Z,115000,115000,0,24,1-30
INV-H060,C-010,fleet,2026-08-27T08:00:00Z,127500,63750,63750,25,1-30
INV-H061,C-001,particular,2026-08-26T21:00:00Z,140000,140000,0,25,1-30
INV-H062,C-002,particular,2026-08-26T10:00:00Z,152500,152500,0,26,1-30
INV-H063,C-003,particular,2026-08-27T12:00:00Z,165000,82500,82500,25,1-30
INV-H064,C-004,particular,2026-08-24T22:00:00Z,177500,177500,0,27,1-30
INV-H065,C-005,particular,2026-08-24T11:00:00Z,190000,190000,0,28,1-30
INV-H066,C-006,particular,2026-08-24T00:00:00Z,65000,32500,32500,28,1-30
INV-H067,C-007,particular,2026-08-23T13:00:00Z,77500,77500,0,29,1-30
INV-H068,C-008,particular,2026-08-23T02:00:00Z,90000,90000,0,29,1-30
INV-H069,C-009,fleet,2026-08-22T15:00:00Z,102500,51250,51250,30,1-30
INV-H070,C-009,fleet,2026-08-21T14:00:00Z,115000,115000,0,31,31-60
INV-H071,C-010,fleet,2026-08-21T03:00:00Z,127500,127500,0,31,31-60
INV-H072,C-010,fleet,2026-08-22T12:00:00Z,140000,70000,70000,30,1-30
INV-H073,C-001,particular,2026-08-20T05:00:00Z,152500,152500,0,32,31-60
INV-H074,C-002,particular,2026-08-19T18:00:00Z,165000,165000,0,33,31-60
INV-H075,C-003,particular,2026-08-19T07:00:00Z,177500,88750,88750,33,31-60
INV-H076,C-004,particular,2026-08-18T20:00:00Z,190000,190000,0,33,31-60
INV-H077,C-005,particular,2026-08-17T19:00:00Z,65000,65000,0,34,31-60
INV-H078,C-006,particular,2026-08-17T08:00:00Z,77500,38750,38750,35,31-60
INV-H079,C-007,particular,2026-08-16T21:00:00Z,90000,90000,0,35,31-60
INV-H080,C-008,particular,2026-08-16T10:00:00Z,102500,102500,0,36,31-60
INV-H081,C-009,fleet,2026-08-18T00:00:00Z,115000,57500,57500,34,31-60
INV-H082,C-009,fleet,2026-08-15T12:00:00Z,127500,127500,0,37,31-60
INV-H083,C-010,fleet,2026-08-15T01:00:00Z,140000,140000,0,37,31-60
INV-H084,C-010,fleet,2026-08-14T00:00:00Z,152500,76250,76250,38,31-60
INV-H085,C-001,particular,2026-08-13T13:00:00Z,165000,165000,0,39,31-60
INV-H086,C-002,particular,2026-08-13T02:00:00Z,177500,177500,0,39,31-60
INV-H087,C-003,particular,2026-08-12T15:00:00Z,190000,95000,95000,40,31-60
INV-H088,C-004,particular,2026-08-12T04:00:00Z,65000,65000,0,40,31-60
INV-H089,C-005,particular,2026-08-11T17:00:00Z,77500,77500,0,41,31-60
INV-H090,C-006,particular,2026-08-13T00:00:00Z,90000,45000,45000,39,31-60
INV-H091,C-007,particular,2026-08-10T05:00:00Z,102500,102500,0,42,31-60
INV-H092,C-008,particular,2026-08-09T18:00:00Z,115000,115000,0,43,31-60
INV-H093,C-009,fleet,2026-08-09T07:00:00Z,127500,63750,63750,43,31-60
INV-H094,C-009,fleet,2026-08-08T20:00:00Z,140000,140000,0,43,31-60
INV-H095,C-010,fleet,2026-08-08T09:00:00Z,152500,152500,0,44,31-60
INV-H096,C-010,fleet,2026-08-07T22:00:00Z,165000,82500,82500,44,31-60
INV-H097,C-001,particular,2026-08-07T11:00:00Z,177500,177500,0,45,31-60
INV-H098,C-002,particular,2026-08-06T10:00:00Z,190000,190000,0,46,31-60
INV-H099,C-003,particular,2026-08-08T00:00:00Z,65000,32500,32500,44,31-60
INV-H100,C-004,particular,2026-08-05T12:00:00Z,77500,77500,0,47,31-60
INV-H101,C-005,particular,2026-08-05T01:00:00Z,90000,90000,0,47,31-60
INV-H102,C-006,particular,2026-08-04T14:00:00Z,102500,51250,51250,48,31-60
INV-H103,C-007,particular,2026-08-04T03:00:00Z,115000,115000,0,48,31-60
INV-H104,C-008,particular,2026-08-03T16:00:00Z,127500,127500,0,49,31-60
INV-H105,C-009,fleet,2026-08-02T15:00:00Z,140000,70000,70000,50,31-60
INV-H106,C-009,fleet,2026-08-02T04:00:00Z,152500,152500,0,50,31-60
INV-H107,C-010,fleet,2026-08-01T17:00:00Z,165000,165000,0,51,31-60
INV-H108,C-010,fleet,2026-08-03T00:00:00Z,177500,88750,88750,49,31-60
INV-H109,C-001,particular,2026-07-31T19:00:00Z,190000,190000,0,51,31-60
INV-H110,C-002,particular,2026-07-31T08:00:00Z,65000,65000,0,52,31-60
INV-H111,C-003,particular,2026-07-30T21:00:00Z,77500,38750,38750,52,31-60
INV-H112,C-004,particular,2026-07-29T20:00:00Z,90000,90000,0,53,31-60
INV-H113,C-005,particular,2026-07-29T09:00:00Z,102500,102500,0,54,31-60
INV-H114,C-006,particular,2026-07-28T22:00:00Z,115000,57500,57500,54,31-60
INV-H115,C-007,particular,2026-07-28T11:00:00Z,127500,127500,0,55,31-60
INV-H116,C-008,particular,2026-07-28T00:00:00Z,140000,140000,0,55,31-60
INV-H117,C-009,fleet,2026-07-29T12:00:00Z,152500,76250,76250,54,31-60
INV-H118,C-009,fleet,2026-07-27T02:00:00Z,165000,165000,0,56,31-60
INV-H119,C-010,fleet,2026-07-26T01:00:00Z,177500,177500,0,57,31-60
