work_order_id,customer_id,segment,vehicle_id,status,opened_at,completed_at,cycle_hours,history_available,waiting_parts_hours,in_service_hours,rework_observed,contract_id,sla_status,invoiced_cents,paid_cents,receivable_cents
WO-001,C-001,particular,V-001,delivered,2026-09-18T16:00:00Z,2026-09-20T20:00:00Z,52.0,0,,,,,not_applicable,185000,100000,85000
WO-002,C-002,particular,V-002,in_service,2026-09-18T16:00:00Z,,74.0,0,,,,,not_applicable,0,0,0
WO-003,C-003,particular,V-003,waiting_parts,2026-09-18T16:00:00Z,,74.0,0,,,,,not_applicable,0,0,0
WO-004,C-004,particular,V-004,rework,2026-09-18T16:00:00Z,,74.0,0,,,,,not_applicable,0,0,0
WO-005,C-005,particular,V-005,cancelled,2026-09-18T16:00:00Z,,74.0,0,,,,,excluded,0,0,0
WO-006,C-006,particular,V-006,quality_check,2026-09-18T16:00:00Z,,74.0,0,,,,,not_applicable,0,0,0
WO-007,C-007,particular,V-007,received,2026-09-18T16:00:00Z,,74.0,0,,,,,not_applicable,0,0,0
WO-008,C-008,particular,V-008,authorized,2026-09-18T16:00:00Z,,74.0,0,,,,,not_applicable,0,0,0
WO-009,C-009,fleet,V-009,delivered,2026-09-18T16:00:00Z,2026-09-21T17:00:00Z,73.0,0,,,,CT-001,breached,300000,0,300000
WO-010,C-010,fleet,V-011,scheduled,2026-09-18T16:00:00Z,,74.0,0,,,,,unknown,0,0,0
WO-H001,C-001,particular,V-001,delivered,2026-09-20T17:00:00Z,2026-09-21T01:00:00Z,8.0,1,0.0,1.143,0,,not_applicable,77500,77500,0
WO-H002,C-002,particular,V-002,delivered,2026-09-20T04:00:00Z,2026-09-20T14:00:00Z,10.0,1,0.0,1.429,0,,not_applicable,90000,90000,0
WO-H003,C-003,particular,V-003,delivered,2026-09-19T15:00:00Z,2026-09-20T03:00:00Z,12.0,1,0.0,1.714,0,,not_applicable,102500,51250,51250
WO-H004,C-004,particular,V-004,delivered,2026-09-19T02:00:00Z,2026-09-19T16:00:00Z,14.0,1,0.0,2.0,0,,not_applicable,115000,115000,0
WO-H005,C-005,particular,V-005,delivered,2026-09-18T13:00:00Z,2026-09-19T05:00:00Z,16.0,1,0.0,2.286,0,,not_applicable,127500,127500,0
WO-H006,C-006,particular,V-006,delivered,2026-09-18T00:00:00Z,2026-09-18T18:00:00Z,18.0,1,0.0,2.571,0,,not_applicable,140000,70000,70000
WO-H007,C-007,particular,V-007,delivered,2026-09-17T11:00:00Z,2026-09-17T17:00:00Z,6.0,1,0.0,0.857,0,,not_applicable,152500,152500,0
WO-H008,C-008,particular,V-008,delivered,2026-09-16T22:00:00Z,2026-09-17T06:00:00Z,8.0,1,0.0,1.143,0,,not_applicable,165000,165000,0
WO-H009,C-009,fleet,V-009,delivered,2026-09-16T09:00:00Z,2026-09-19T00:00:00Z,63.0,1,0.0,9.0,0,CT-001,breached,177500,88750,88750
WO-H010,C-009,fleet,V-010,delivered,2026-09-15T20:00:00Z,2026-09-16T08:00:00Z,12.0,1,1.091,2.182,1,CT-001,met,190000,190000,0
WO-H011,C-010,fleet,V-011,delivered,2026-09-15T07:00:00Z,2026-09-15T21:00:00Z,14.0,1,0.0,2.0,0,CT-002,unknown,65000,65000,0
WO-H012,C-010,fleet,V-012,delivered,2026-09-14T18:00:00Z,2026-09-15T10:00:00Z,16.0,1,0.0,2.286,0,CT-002,unknown,77500,38750,38750
WO-H013,C-001,particular,V-001,delivered,2026-09-14T05:00:00Z,2026-09-14T23:00:00Z,18.0,1,0.0,2.571,0,,not_applicable,90000,90000,0
WO-H014,C-002,particular,V-002,delivered,2026-09-13T16:00:00Z,2026-09-13T22:00:00Z,6.0,1,0.0,0.857,0,,not_applicable,102500,102500,0
WO-H015,C-003,particular,V-003,delivered,2026-09-13T03:00:00Z,2026-09-13T11:00:00Z,8.0,1,0.0,1.143,0,,not_applicable,115000,57500,57500
WO-H016,C-004,particular,V-004,delivered,2026-09-12T14:00:00Z,2026-09-13T00:00:00Z,10.0,1,0.0,1.429,0,,not_applicable,127500,127500,0
WO-H017,C-005,particular,V-005,delivered,2026-09-12T01:00:00Z,2026-09-12T13:00:00Z,12.0,1,0.0,1.714,0,,not_applicable,140000,140000,0
WO-H018,C-006,particular,V-006,delivered,2026-09-11T12:00:00Z,2026-09-14T00:00:00Z,60.0,1,0.0,8.571,0,,not_applicable,152500,76250,76250
WO-H019,C-007,particular,V-007,delivered,2026-09-10T23:00:00Z,2026-09-11T15:00:00Z,16.0,1,0.0,2.286,0,,not_applicable,165000,165000,0
WO-H020,C-008,particular,V-008,delivered,2026-09-10T10:00:00Z,2026-09-11T04:00:00Z,18.0,1,1.636,3.273,1,,not_applicable,177500,177500,0
WO-H021,C-009,fleet,V-009,delivered,2026-09-09T21:00:00Z,2026-09-10T03:00:00Z,6.0,1,0.0,0.857,0,CT-001,met,190000,95000,95000
WO-H022,C-009,fleet,V-010,delivered,2026-09-09T08:00:00Z,2026-09-09T16:00:00Z,8.0,1,0.0,1.143,0,CT-001,met,65000,65000,0
WO-H023,C-010,fleet,V-011,delivered,2026-09-08T19:00:00Z,2026-09-09T05:00:00Z,10.0,1,0.0,1.429,0,CT-002,unknown,77500,77500,0
WO-H024,C-010,fleet,V-012,delivered,2026-09-08T06:00:00Z,2026-09-08T18:00:00Z,12.0,1,0.0,1.714,0,CT-002,unknown,90000,45000,45000
WO-H025,C-001,particular,V-001,delivered,2026-09-07T17:00:00Z,2026-09-08T07:00:00Z,14.0,1,0.0,2.0,0,,not_applicable,102500,102500,0
