id,version,synthetic,created_at,updated_at,customer_id,vehicle_id,description,amount_cents,valid_until,authorization_ref,status
Q-001,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,V-001,Mantenimiento preventivo demo,185000,2026-10-15T00:00:00Z,AUTH-C001,accepted
Q-002,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,V-002,Mantenimiento preventivo demo,92000,2026-10-15T00:00:00Z,AUTH-C002,accepted
Q-003,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-003,V-003,Mantenimiento preventivo demo,47500,2026-10-15T00:00:00Z,AUTH-C003,accepted
Q-004,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-004,V-004,Mantenimiento preventivo demo,210000,2026-10-15T00:00:00Z,AUTH-C004,accepted
Q-005,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-009,Mantenimiento preventivo demo,300000,2026-10-15T00:00:00Z,AUTH-FLEET-01,accepted
Q-006,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-006,V-006,Mantenimiento preventivo demo,125000,2026-10-15T00:00:00Z,AUTH-C006,accepted
Q-007,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-008,V-008,Mantenimiento preventivo demo,110000,2026-10-15T00:00:00Z,AUTH-C008,accepted
Q-008,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-011,Mantenimiento preventivo demo,99000,2026-10-15T00:00:00Z,AUTH-C010,accepted
Q-009,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-005,V-005,Mantenimiento preventivo demo,65000,2026-10-15T00:00:00Z,,sent
Q-010,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-007,V-007,Mantenimiento preventivo demo,72000,2026-09-20T00:00:00Z,,sent
Q-H001,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,V-001,Servicio histórico sintético,77500,2026-10-05T01:00:00Z,AUTH-H001,accepted
Q-H002,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,V-002,Servicio histórico sintético,90000,2026-10-04T14:00:00Z,AUTH-H002,accepted
Q-H003,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-003,V-003,Servicio histórico sintético,102500,2026-10-04T03:00:00Z,AUTH-H003,accepted
Q-H004,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-004,V-004,Servicio histórico sintético,115000,2026-10-03T16:00:00Z,AUTH-H004,accepted
Q-H005,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-005,V-005,Servicio histórico sintético,127500,2026-10-03T05:00:00Z,AUTH-H005,accepted
Q-H006,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-006,V-006,Servicio histórico sintético,140000,2026-10-02T18:00:00Z,AUTH-H006,accepted
Q-H007,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-007,V-007,Servicio histórico sintético,152500,2026-10-01T17:00:00Z,AUTH-H007,accepted
Q-H008,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-008,V-008,Servicio histórico sintético,165000,2026-10-01T06:00:00Z,AUTH-H008,accepted
Q-H009,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-009,Servicio histórico sintético,177500,2026-10-03T00:00:00Z,AUTH-H009,accepted
Q-H010,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-010,Servicio histórico sintético,190000,2026-09-30T08:00:00Z,AUTH-H010,accepted
Q-H011,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-011,Servicio histórico sintético,65000,2026-09-29T21:00:00Z,AUTH-H011,accepted
Q-H012,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-012,Servicio histórico sintético,77500,2026-09-29T10:00:00Z,AUTH-H012,accepted
Q-H013,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,V-001,Servicio histórico sintético,90000,2026-09-28T23:00:00Z,AUTH-H013,accepted
Q-H014,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,V-002,Servicio histórico sintético,102500,2026-09-27T22:00:00Z,AUTH-H014,accepted
Q-H015,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-003,V-003,Servicio histórico sintético,115000,2026-09-27T11:00:00Z,AUTH-H015,accepted
Q-H016,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-004,V-004,Servicio histórico sintético,127500,2026-09-27T00:00:00Z,AUTH-H016,accepted
Q-H017,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-005,V-005,Servicio histórico sintético,140000,2026-09-26T13:00:00Z,AUTH-H017,accepted
Q-H018,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-006,V-006,Servicio histórico sintético,152500,2026-09-28T00:00:00Z,AUTH-H018,accepted
Q-H019,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-007,V-007,Servicio histórico sintético,165000,2026-09-25T15:00:00Z,AUTH-H019,accepted
Q-H020,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-008,V-008,Servicio histórico sintético,177500,2026-09-25T04:00:00Z,AUTH-H020,accepted
Q-H021,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-009,Servicio histórico sintético,190000,2026-09-24T03:00:00Z,AUTH-H021,accepted
Q-H022,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-010,Servicio histórico sintético,65000,2026-09-23T16:00:00Z,AUTH-H022,accepted
Q-H023,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-011,Servicio histórico sintético,77500,2026-09-23T05:00:00Z,AUTH-H023,accepted
Q-H024,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-012,Servicio histórico sintético,90000,2026-09-22T18:00:00Z,AUTH-H024,accepted
Q-H025,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,V-001,Servicio histórico sintético,102500,2026-09-22T07:00:00Z,AUTH-H025,accepted
Q-H026,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,V-002,Servicio histórico sintético,115000,2026-09-21T20:00:00Z,AUTH-H026,accepted
Q-H027,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-003,V-003,Servicio histórico sintético,127500,2026-09-23T00:00:00Z,AUTH-H027,accepted
Q-H028,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-004,V-004,Servicio histórico sintético,140000,2026-09-20T08:00:00Z,AUTH-H028,accepted
Q-H029,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-005,V-005,Servicio histórico sintético,152500,2026-09-19T21:00:00Z,AUTH-H029,accepted
Q-H030,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-006,V-006,Servicio histórico sintético,165000,2026-09-19T10:00:00Z,AUTH-H030,accepted
Q-H031,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-007,V-007,Servicio histórico sintético,177500,2026-09-18T23:00:00Z,AUTH-H031,accepted
Q-H032,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-008,V-008,Servicio histórico sintético,190000,2026-09-18T12:00:00Z,AUTH-H032,accepted
Q-H033,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-009,Servicio histórico sintético,65000,2026-09-18T01:00:00Z,AUTH-H033,accepted
Q-H034,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-010,Servicio histórico sintético,77500,2026-09-17T14:00:00Z,AUTH-H034,accepted
Q-H035,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-011,Servicio histórico sintético,90000,2026-09-16T13:00:00Z,AUTH-H035,accepted
Q-H036,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-012,Servicio histórico sintético,102500,2026-09-18T00:00:00Z,AUTH-H036,accepted
Q-H037,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,V-001,Servicio histórico sintético,115000,2026-09-15T15:00:00Z,AUTH-H037,accepted
Q-H038,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,V-002,Servicio histórico sintético,127500,2026-09-15T04:00:00Z,AUTH-H038,accepted
Q-H039,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-003,V-003,Servicio histórico sintético,140000,2026-09-14T17:00:00Z,AUTH-H039,accepted
Q-H040,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-004,V-004,Servicio histórico sintético,152500,2026-09-14T06:00:00Z,AUTH-H040,accepted
Q-H041,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-005,V-005,Servicio histórico sintético,165000,2026-09-13T19:00:00Z,AUTH-H041,accepted
Q-H042,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-006,V-006,Servicio histórico sintético,177500,2026-09-12T18:00:00Z,AUTH-H042,accepted
Q-H043,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-007,V-007,Servicio histórico sintético,190000,2026-09-12T07:00:00Z,AUTH-H043,accepted
Q-H044,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-008,V-008,Servicio histórico sintético,65000,2026-09-11T20:00:00Z,AUTH-H044,accepted
Q-H045,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-009,Servicio histórico sintético,77500,2026-09-13T12:00:00Z,AUTH-H045,accepted
Q-H046,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,V-010,Servicio histórico sintético,90000,2026-09-10T22:00:00Z,AUTH-H046,accepted
Q-H047,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-011,Servicio histórico sintético,102500,2026-09-10T11:00:00Z,AUTH-H047,accepted
Q-H048,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,V-012,Servicio histórico sintético,115000,2026-09-10T00:00:00Z,AUTH-H048,accepted
