id,version,synthetic,created_at,updated_at,customer_id,label,plate,odometer_km
V-001,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-001,Demo unidad 01,DEMO-001,18430
V-002,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-002,Demo unidad 02,DEMO-002,18860
V-003,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-003,Demo unidad 03,DEMO-003,19290
V-004,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-004,Demo unidad 04,DEMO-004,19720
V-005,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-005,Demo unidad 05,DEMO-005,20150
V-006,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-006,Demo unidad 06,DEMO-006,20580
V-007,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-007,Demo unidad 07,DEMO-007,21010
V-008,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-008,Demo unidad 08,DEMO-008,21440
V-009,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,Demo unidad 09,DEMO-009,21870
V-010,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-009,Demo unidad 10,DEMO-010,22300
V-011,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,Demo unidad 11,DEMO-011,22730
V-012,1,1,2026-09-21T18:00:00Z,2026-09-21T18:00:00Z,C-010,Demo unidad 12,DEMO-012,23160
